State,All_Causes,Alzheimer's_disease,Cancer,Chronic_liver_disease_and_cirrhosis,CLRD,Diabetes,Diseases_of_Heart,Essential_hypertension_and_hypertensive_renal_disease,Homicide,Influenza_,Kidney_Disease,Parkinson's_disease,Pneumonitis_due_to_solids_and_liquids,Septicemia,Stroke,Suicide,Unintentional_Injuries,population,employed,unemployed,empl_civlab,empl_femaletot,empl_femalework,empl_children
New Mexico,741.5,19.9,143.3,24.8,44.7,24.9,142.4,6.1,8,13.6,12.9,7.2,3.3,9.6,32.5,23.7,67.3,1633310,973891,88924,964959,830630,457025,161215
New York,644,12.6,148.4,6.7,29.9,17.1,181.6,9.3,3.4,20,9.3,5.3,4.4,10.9,26,7.8,30.2,15921937,10107278,829141,10083719,8299123,4875721,1354770
North Carolina,789.9,34.8,164.7,10.7,45.5,23.6,162.4,8.3,6.1,18.7,16,8.3,6.5,13.6,44.7,13.4,47.9,7812594,4909108,453420,4826193,4055732,2346294,712777
North Dakota,696.8,36.7,152.9,11.6,40,22.6,142.4,8.3,3.1,17.7,12.5,7.1,8.3,9.4,33.4,17.5,44.1,575611,404820,11464,399180,281644,183765,56173
Ohio,828.4,31.1,175.1,10.7,49.6,25.3,191.7,9.5,6,16.6,14.5,8,5.9,13.6,40.7,13.9,55.9,9229397,5852224,477251,5843924,4766718,2813202,810462
Oklahoma,904.3,34.7,184.3,13.7,65.8,32.4,234,11.4,8.5,16.5,14.2,7.8,5.3,9.5,43,20.3,60.1,3003180,1854061,115978,1835519,1529303,854441,304891
Oregon,722.3,33,160.2,13.7,42.4,22.9,136.1,11.1,3.4,9,8.2,8.9,3.4,4.6,37.5,17.8,44.5,3177669,1976314,184016,1973823,1619262,933697,267599
Pennsylvania,768.3,21,167.2,8.9,38.1,22.1,177.8,6.1,5.6,15.9,16.9,7.6,5.9,13.5,38.8,14,52,10384811,6521759,514993,6516882,5364887,3127547,836208
Rhode Island,721.9,28.8,163.1,10.6,36.9,20.2,160.4,7.1,2.8,16.2,9.8,8.4,5.6,10.4,27.1,11.2,53.1,865174,569623,48418,566588,451064,278199,65061
South Carolina,840,46.2,166.6,12.2,49.9,23.4,177.8,8.7,9.5,15.3,15.5,7.8,5.7,14.9,46.7,14.8,54,3816548,2323906,217977,2293251,1982553,1118818,335913
South Dakota,715.4,34.8,154,16.1,45.3,26.3,150.9,8.8,4.2,18.2,7.4,7.2,5,11.1,33.2,20.4,49.5,657804,453990,20220,451073,329772,213403,69049
Tennessee,886.4,43.4,180.5,12.2,54.9,23.4,207.3,8.6,7.2,23.3,14.4,8.4,7.5,12.1,46,15.7,56.4,5174955,3172519,266297,3155039,2682893,1512166,462246
Texas,745,38.2,149.2,13.8,41.3,21.2,171.6,8.3,5.6,13,16.1,8.5,5.7,17.2,42.7,12.5,37.4,20241168,13101788,912068,13006330,10283420,5951284,2265969
Utah,712.1,40.7,125.2,9.3,33.9,24.6,152.9,5.7,2,15.7,15.6,10.2,4.3,7,38.4,22.4,45.6,2096916,1423700,81870,1419516,1051523,626621,301674
Vermont,714.7,35.1,165.3,8.6,42.3,19.8,152.5,6.7,,10,4.5,10.2,2.5,5.9,36.4,14.8,48.4,519139,346162,18957,345689,266047,169145,35834
Virginia,721.6,25.6,159.5,9.6,37.1,21.9,154.2,7.5,4.5,15.7,16.1,7.4,6.7,13,38,12.7,39.6,6598956,4376786,276030,4266800,3384899,2075898,596284
Washington,687.4,44.4,156.4,12.4,39.7,22.4,137.6,7.4,3.4,10.7,5.9,8.7,7.4,6.3,34.2,15.4,41.9,5568640,3586261,277806,3537683,2805627,1648550,514350
West Virginia,943.4,30,190.4,14.2,64.6,31.7,191.3,11.9,4.5,21.2,20.4,6.7,6.4,13.9,43.8,17.4,77.9,1512183,815405,63341,814593,771906,379596,117864
Wisconsin,715.9,27.5,159.3,8.5,39.3,19.4,156,6.6,4.5,14.2,13.7,8.3,5.5,7.2,35.6,14.7,49.3,4583931,3079657,193763,3077153,2325371,1476928,404537
Wyoming,748.3,24.2,139.4,18.9,57.1,20.8,159.4,6.4,,16,13.3,6.8,3.3,7.1,31.4,28,65.8,456640,311371,15002,308951,224405,141128,44931
